浙江联通,#genre#
CCTV1,http://tvh.sotv.net:8001/rtp/233.50.201.118:5140
CCTV1,http://tvh.sotv.net:8001/rtp/233.50.200.99:5140
CCTV1,http://tvh.sotv.net:8001/rtp/233.50.200.130:5140
CCTV1,http://tvh.sotv.net:8001/rtp/233.50.200.143:5140
CCTV2,http://tvh.sotv.net:8001/rtp/233.50.201.119:5140
CCTV2,http://tvh.sotv.net:8001/rtp/233.50.200.25:5140
CCTV2,http://tvh.sotv.net:8001/rtp/233.50.200.100:5140
CCTV3,http://tvh.sotv.net:8001/rtp/233.50.201.196:5140
CCTV3,http://tvh.sotv.net:8001/rtp/233.50.200.107:5140
CCTV4,http://tvh.sotv.net:8001/rtp/233.50.200.101:5140
CCTV4,http://tvh.sotv.net:8001/rtp/233.50.202.38:5140
CCTV5,http://tvh.sotv.net:8001/rtp/233.50.201.108:5140
CCTV5,http://tvh.sotv.net:8001/rtp/233.50.201.193:5140
CCTV5,http://tvh.sotv.net:8001/rtp/233.50.201.197:5140
CCTV5,http://tvh.sotv.net:8001/rtp/233.50.201.195:5140
CCTV5,http://tvh.sotv.net:8001/rtp/233.50.200.108:5140
CCTV5,http://tvh.sotv.net:8001/rtp/233.50.201.194:5140
CCTV5,http://tvh.sotv.net:8001/rtp/233.50.201.227:5140
CCTV5+,http://tvh.sotv.net:8001/rtp/233.50.201.220:5140
CCTV6,http://tvh.sotv.net:8001/rtp/233.50.201.198:5140
CCTV6,http://tvh.sotv.net:8001/rtp/233.50.200.109:5140
CCTV7,http://tvh.sotv.net:8001/rtp/233.50.201.120:5140
CCTV7,http://tvh.sotv.net:8001/rtp/233.50.200.24:5140
CCTV7,http://tvh.sotv.net:8001/rtp/233.50.200.102:5140
CCTV8,http://tvh.sotv.net:8001/rtp/233.50.201.199:5140
CCTV8,http://tvh.sotv.net:8001/rtp/233.50.200.110:5140
CCTV8,http://tvh.sotv.net:8001/rtp/233.50.201.116:5140
CCTV9,http://tvh.sotv.net:8001/rtp/233.50.201.121:5140
CCTV9,http://tvh.sotv.net:8001/rtp/233.50.200.23:5140
CCTV10,http://tvh.sotv.net:8001/rtp/233.50.201.122:5140
CCTV10,http://tvh.sotv.net:8001/rtp/233.50.200.22:5140
CCTV11,http://tvh.sotv.net:8001/rtp/233.50.200.132:5140
CCTV11,http://tvh.sotv.net:8001/rtp/233.50.202.39:5140
CCTV12,http://tvh.sotv.net:8001/rtp/233.50.201.123:5140
CCTV12,http://tvh.sotv.net:8001/rtp/233.50.200.21:5140
CCTV13,http://tvh.sotv.net:8001/rtp/233.50.201.246:5140
CCTV13,http://tvh.sotv.net:8001/rtp/233.50.200.97:5140
CCTV13,http://tvh.sotv.net:8001/rtp/233.50.200.111:5140
CCTV14,http://tvh.sotv.net:8001/rtp/233.50.201.124:5140
CCTV14,http://tvh.sotv.net:8001/rtp/233.50.200.20:5140
CCTV14,http://tvh.sotv.net:8001/rtp/233.50.200.103:5140
CCTV15,http://tvh.sotv.net:8001/rtp/233.50.200.133:5140
CCTV15,http://tvh.sotv.net:8001/rtp/233.50.202.40:5140
CCTV16,http://tvh.sotv.net:8001/rtp/233.50.201.192:5140
CCTV16,http://tvh.sotv.net:8001/rtp/233.50.200.112:5140
CCTV16,http://tvh.sotv.net:8001/rtp/233.50.201.63:5140
CCTV17,http://tvh.sotv.net:8001/rtp/233.50.200.113:5140
浙江卫视,http://tvh.sotv.net:8001/rtp/233.50.201.100:5140
浙江卫视,http://tvh.sotv.net:8001/rtp/233.50.200.145:5140
湖南卫视,http://tvh.sotv.net:8001/rtp/233.50.201.103:5140
湖南卫视,http://tvh.sotv.net:8001/rtp/233.50.200.190:5140
重庆卫视,http://tvh.sotv.net:8001/rtp/233.50.201.143:5140
重庆卫视,http://tvh.sotv.net:8001/rtp/233.50.200.114:5140
江苏卫视,http://tvh.sotv.net:8001/rtp/233.50.201.106:5140
